location,per change,abs change,avg,standard dev
oshkosh wi,inf,57.0,0.0,0.0
on my throne,inf,67.0,0.0,0.0
chapel hill,4657.14285714,326.0,7.0,17.8475021595
blacksburg,6761.11111111,243.4,3.6,13.4699665924
brunei darussalam,61.8303571429,55.4,89.6,17.9807304264
muscatine iowa,inf,54.0,0.0,0.0
southfield mi,inf,54.0,0.0,0.0
san juan pr,inf,75.0,0.0,0.0
anywhere,144.287634409,429.4,297.6,39.0517605237
rio de janeiro brazil,335.267857143,100.133333333,29.8666666667,32.2962674142
birmingham uk,inf,74.0,0.0,0.0
planet earth,260.320284698,682.733333333,262.266666667,30.6278014592
rancho cucamonga,5436.36363636,199.333333333,3.66666666667,13.7194104182
winnipeg canada,2531.57894737,96.2,3.8,14.2182980697
san juan puerto rico,365.0,121.666666667,33.3333333333,32.7427684976
الكويت ,302.43902439,49.6,16.4,27.4731383961
allen tx,inf,65.0,0.0,0.0
loco,inf,55.0,0.0,0.0
my room,551.063829787,86.3333333333,15.6666666667,26.0554963278
xalapa ver,159.216589862,92.1333333333,57.8666666667,46.805792614
my world,180.36018496,494.066666667,273.933333333,50.4611621833
mississippi ,2447.16981132,86.4666666667,3.53333333333,13.2205227666
texas,302.551693797,15587.8666667,5152.13333333,1385.90662825
москва,13.5470527404,43.6666666667,322.333333333,70.407070352
bay area ,361.312438786,491.866666667,136.133333333,40.0663893501
phoenix arizona,216.343042071,267.4,123.6,24.5704429481
narnia ,114.664310954,173.066666667,150.933333333,42.015023768
c a l i f o r n i a,205.44593528,173.533333333,84.4666666667,60.4900726474
cleveland ohio ,inf,77.0,0.0,0.0
kuala lumpur,11.3690525105,184.466666667,1622.53333333,204.903836524
plano tx,3594.44444444,129.4,3.6,13.4699665924
cedar falls ia,inf,68.0,0.0,0.0
barranquilla colombia,11.3148984199,26.7333333333,236.266666667,159.453845638
kolkata,1688.46153846,58.5333333333,3.46666666667,12.9710789408
仙台,-1.12262521589,-2.6,231.6,36.9969368101
bogota,28.0991735537,251.6,895.4,351.378390533
richmond virginia,4575.0,183.0,4.0,14.9666295471
houstontexas,239.121190645,224.933333333,94.0666666667,28.3700938
austin texas,325.272798129,1112.86666667,342.133333333,71.9220565767
las vegas nv ,inf,52.0,0.0,0.0
manaus,14.2290249433,50.2,352.8,47.1270622891
based world,1143.58974359,89.2,7.8,19.8870141885
where i'm meant to be,426.385224274,107.733333333,25.2666666667,31.218513026
orlando florida,305.905685324,462.733333333,151.266666667,31.1629409538
silicon valley,inf,105.0,0.0,0.0
kirkland wa,inf,56.0,0.0,0.0
maracay,52.6670754139,57.2666666667,108.733333333,38.5892328103
surabaya indonesia,-15.0431813617,-49.9333333333,331.933333333,91.6016496698
evansville indiana,inf,120.0,0.0,0.0
minneapolis ,484.979137691,1162.33333333,239.666666667,72.3958255396
tennessee ,2197.2972973,162.6,7.4,18.90960955
1derland,84.1804683038,98.2666666667,116.733333333,64.8983478646
batam,-27.7020447907,-37.9333333333,136.933333333,77.3377584941
méxico,48.8398846815,2349.13333333,4809.86666667,832.166639295
kansas city ,455.977784274,1039.93333333,228.066666667,89.885457976
cebu philippines,144.604316547,40.2,27.8,34.535392474
lubbock,707.831325301,391.666666667,55.3333333333,51.288291928
京都,9.06538969617,219.6,2422.4,223.768272997
houston,223.449348629,6129.06666667,2742.93333333,598.565782146
eric foreman's basement,1133.05084746,89.1333333333,7.86666666667,20.069435025
fresno,307.58366595,667.866666667,217.133333333,65.8947308634
kyoto,58.8235294118,86.6666666667,147.333333333,30.317578326
atlanta georgia ,3547.05882353,120.6,3.4,12.721635115
managua nicaragua,47.0037453184,50.2,106.8,18.6697616482
salt lake city,373.55163728,593.2,158.8,52.4165368308
chicago il usa,inf,132.0,0.0,0.0
布団の中,-2.94543698696,-4.06666666667,138.066666667,32.0945824435
milwaukee ,356.562305619,1146.46666667,321.533333333,60.5792777184
columbia missouri,inf,141.0,0.0,0.0
chennai india,inf,56.0,0.0,0.0
right where i need to be,inf,79.0,0.0,0.0
mobileal,inf,68.0,0.0,0.0
sioux falls sd,3534.61538462,122.533333333,3.46666666667,12.9710789408
union city,inf,55.0,0.0,0.0
山口県,176.699029126,36.4,20.6,29.215977364
lv,99.187953327,2516.2,2536.8,217.298320288
viña del mar chile,141.935483871,49.8666666667,35.1333333333,29.0513721229
puerto rico,204.842948317,1091.26666667,532.733333333,165.994564837
الرياض ,34.4178082192,40.2,116.8,30.8765283023
90210,inf,61.0,0.0,0.0
all over the world,459.139784946,85.4,18.6,26.3484344886
千葉,1.60074083874,16.1333333333,1007.86666667,77.1326706972
vancouver british columbia,inf,73.0,0.0,0.0
新潟,-12.4965440973,-30.1333333333,241.133333333,57.4918738219
essex,137.166324435,44.5333333333,32.4666666667,35.4360770339
charlestonsc,inf,52.0,0.0,0.0
on the field ,1373.68421053,52.2,3.8,14.2182980697
phoenixaz,inf,59.0,0.0,0.0
earth!!,inf,68.0,0.0,0.0
