location,in_time,per change,abs change,avg,standard dev,main hr count
indonesia,2012-08-12 14:00:00,13.3096587754,5393.3,40521.7,1391.23154435,45915
indonesia,2012-08-12 04:00:00,287.519937661,21467.5454545,7466.45454545,9446.91461285,28934
indonesia,2012-07-27 10:00:00,5.55301959125,1496.3,26945.7,1254.80492906,28442
indonesia,2012-07-28 19:00:00,19.1043135818,927.111111111,4852.88888889,817.466879308,5780
indonesia,2012-08-11 05:00:00,156.646983637,14829.3,9466.7,10403.4066829,24296
indonesia,2012-07-29 09:00:00,5.11902847032,1273.0,24868.0,1035.88261883,26141
indonesia,2012-08-12 03:00:00,132.575743058,15373.7777778,11596.2222222,10028.580954,26970
indonesia,2012-08-12 06:00:00,47.6032836252,9231.8,19393.2,4774.84935469,28625
indonesia,2012-08-12 22:00:00,31.9785354308,3918.25,12252.75,1189.26129908,16171
indonesia,2012-08-13 03:00:00,125.565628095,14651.5555556,11668.4444444,10136.1201772,26320
ca,2012-08-03 07:00:00,8.31910398518,1149.8,13821.2,995.976786878,14971
ca,2012-08-10 08:00:00,8.44623639975,854.7,10119.3,416.567893626,10974
ca,2012-07-27 23:00:00,18.8577940866,4798.625,25446.375,3035.18590606,30245
ca,2012-08-01 19:00:00,9.89461429316,2719.66666667,27486.3333333,1976.62490119,30206
ca,2012-08-10 17:00:00,10.414738626,2667.1,25608.9,2077.18470291,28276
ca,2012-08-03 04:00:00,235.667851171,20498.8181818,8698.18181818,11667.3333622,29197
ca,2012-07-31 00:00:00,19.2738632836,4812.25,24967.75,2490.97660316,29780
ca,2012-08-10 11:00:00,17.5372010362,1455.5,8299.5,1223.19943182,9755
ca,2012-08-10 05:00:00,211.113864453,17039.0,8071.0,9396.75587636,25110
ca,2012-08-12 20:00:00,45.8028173434,12973.4444444,28324.5555556,5172.38410774,41298
ca,2012-07-27 08:00:00,5.38764006189,546.7,10147.3,461.267828924,10694
ca,2012-08-10 16:00:00,10.1133430319,2495.7,24677.3,2246.10814744,27173
ca,2012-08-10 10:00:00,14.7697512003,1082.8,7331.2,589.586261712,8414
ca,2012-08-10 04:00:00,262.50904987,22414.4545455,8538.54545455,11369.9669734,30953
ca,2012-08-03 05:00:00,193.769561815,15848.8,8179.2,9584.23084864,24028
ca,2012-08-10 07:00:00,9.39468995785,1297.2,13807.8,979.377332799,15105
ca,2012-08-13 00:00:00,13.3340960302,3350.875,25130.125,2744.16687892,28481
ca,2012-08-10 13:00:00,15.5802023711,2098.7,13470.3,1522.04757153,15569
ca,2012-08-10 12:00:00,23.2706940281,2422.2,10408.8,1444.17836849,12831
ca,2012-08-10 06:00:00,42.5519986943,5996.3,14091.7,4149.51002047,20088
ca,2012-07-28 03:00:00,93.4671042817,13922.4444444,14895.5555556,13081.7572393,28818
ca,2012-08-11 15:00:00,24.8619550401,5380.5,21641.5,2462.1095528,27022
