change,perc_change,total_count,location
230,17.88491,1516,montpellier
152.33333,17.86552,1005,virginia 
193.13333,17.83538,1276,united states 
1127.13333,17.70589,7493,"pittsburgh, pa"
477.4,17.6841,3177,st. louis
736.26667,17.57731,4925,"louisville, ky"
193.46667,17.5634,1295,kota kinabalu
157,17.56152,1051,merida yucatan
1070.73333,17.51205,7185,kentucky
390.13333,17.48014,2622,maine
213,17.47334,1432,"mÌ©xico, df"
5453.53333,17.47285,36665,texas
253.73333,17.47154,1706,el salvador 
191.06667,17.41826,1288,arnhem
544.73333,17.40214,3675,puebla
430.53333,17.37797,2908,bangalore
1613.6,17.37034,10903,"sydney, australia"
575.2,17.34725,3891,"memphis, tn"
404.53333,17.34358,2737,rva
1447.6,17.34193,9795,"melbourne, australia"
763.93333,17.32642,5173,baltimore
708.86667,17.2594,4816,"atlanta, georgia"
360.86667,17.19122,2460,city of angels
272.06667,17.1875,1855,"phoenix, arizona"
1057.33333,17.13206,7229,dmv
582.2,17.10944,3985,"milwaukee, wi"
164.46667,17.08685,1127,amersfoort
169.86667,17.0014,1169,houston 
1278.86667,16.88466,8853,"dallas, tx"
188.2,16.88195,1303,¾Ñ´¾ÏÂŒİ_
351.86667,16.85885,2439,montrÌ©al
148.4,16.83303,1030,georgia 
1911.13333,16.83244,13265,"santiago, chile"
197.4,16.79143,1373,las palmas de gran canaria
219.93333,16.72412,1535,france.
361.93333,16.70924,2528,international
403.66667,16.70575,2820,"rochester, ny"
149.53333,16.69893,1045,"____„_¼___¡, „Û__„„_ü„"
252.93333,16.68352,1769,"baltimore, maryland"
801.4,16.63139,5620,nc
834.53333,16.60609,5860,berlin
1727.73333,16.60441,12133,maryland
303.26667,16.55627,2135,right here
328.33333,16.53517,2314,"auckland, new zealand"
393.53333,16.44198,2787,mÌ©xico.
202.46667,16.38699,1438,west coast
631.2,16.38289,4484,oregon
422.26667,16.36862,3002,df
269.26667,16.31194,1920,new mexico
284.13333,16.30264,2027,"omaha, ne"
539.33333,16.29078,3850,sc
903,16.26734,6454,santiago de chile
418.53333,16.26341,2992,"brisbane, australia"
392.2,16.20795,2812,"orlando, florida"
268.8,16.18107,1930,portland
224.33333,16.17788,1611,"california, usa"
145.4,16.16274,1045,"caracas, venezuela."
797.86667,16.08883,5757,"dallas, texas"
577.4,16.04959,4175,missouri
276.73333,16.03074,2003,"tampa, florida"
276.93333,16.01635,2006,az
262.46667,15.93089,1910,natal/rn
409.46667,15.88599,2987,west virginia
513.6,15.84501,3755,"indianapolis, in"
139.6,15.78471,1024,Š¼Î¾ÂÁŒÉÄ‹¬Šüä¾ÂÁŒÉÄ‹¨Ü_ĞÒ
141.13333,15.77144,1036,poland 
164.46667,15.71538,1211,"guadalajara, jalisco"
188.6,15.71143,1389,north america
427.66667,15.64634,3161,brasilia
183.53333,15.62695,1358,viÌ±a del mar
692.6,15.6188,5127,d[m]v
757.33333,15.61619,5607,murcia
4997.8,15.61559,37003,chicago
265,15.59741,1964,"detroit, michigan"
1123.4,15.582,8333,arizona
403.33333,15.58074,2992,tx
224.66667,15.57661,1667,alaska
202.66667,15.54987,1506,cadiz
302.06667,15.54694,2245,"russia, moscow"
149.73333,15.54433,1113,"nashville, tennessee"
1071.33333,15.54309,7964,south carolina
276.13333,15.50556,2057,florida 
710.66667,15.50207,5295,philly
361.33333,15.40429,2707,"bogota, colombia"
161.33333,15.3993,1209,ciudad real
336.2,15.3811,2522,"lexington, ky"
150.46667,15.37675,1129,"mexico, d.f."
189,15.32847,1422,"college station, tx"
839.73333,15.32286,6320,louisiana
231.66667,15.29826,1746,u.s.a.
1008.86667,15.29482,7605,lagos
133.86667,15.24446,1012,tandil
135.93333,15.23802,1028,‹__±¥Ô
202.73333,15.20576,1536,"ottawa, canada"
304.26667,15.20016,2306,hamburg
545.86667,15.10785,4159,pa
932.73333,15.06531,7124,wisconsin
131.73333,15.05065,1007,joho
493.8,15.04479,3776,kansas city
874.4,15.00446,6702,montreal
150,15,1150,caracas 
912.13333,14.98527,6999,global
665,14.91366,5124,"detroit, mi"
412.4,14.83667,3192,the moon
557.46667,14.8202,4319,hong kong
294.26667,14.75218,2289,"san diego, california"
166.53333,14.74442,1296,online
135.53333,14.74043,1055,"quito, ecuador"
153.46667,14.72055,1196,"karachi, pakistan"
189.06667,14.71412,1474,metz
444.86667,14.68627,3474,hawaii
900.33333,14.64274,7049,"los angeles, california"
159.26667,14.62862,1248,"new delhi, india"
1230.73333,14.62501,9646,bogota
141.4,14.61348,1109,"san juan, puerto rico"
163.53333,14.5691,1286,worldwide 
381.8,14.56585,3003,"cincinnati, ohio"
336.13333,14.56468,2644,toledo
967.73333,14.56275,7613,bogotÌÁ
717.86667,14.48441,5674,iowa
155.33333,14.48104,1228,on top of the world
148.46667,14.46292,1175,"norfolk, va"
6869.66667,14.44016,54443,usa
747.33333,14.42543,5928,new york 
897.86667,14.40012,7133,mumbai
519.73333,14.38403,4133,atl
144.46667,14.38147,1149,bronx
611,14.36971,4863,"miami, florida"
490.46667,14.3683,3904,ca
345.86667,14.33268,2759,aberdeen
355.86667,14.32559,2840,veracruz
267.73333,14.26187,2145,durban
262.53333,14.25675,2104,tenerife
319.2,14.23856,2561,memphis
156.66667,14.1994,1260,l.a.
298.86667,14.1366,2413,toulouse
896.46667,14.11418,7248,"houston, texas"
147.66667,14.11277,1194,columbus ohio
1840.33333,14.10686,14886,south africa
3782.73333,14.06834,30671,toronto
655.4,14.05955,5317,kansas
195,14.03888,1584,rouen
123.6,13.9914,1007,ŠÀ¨_É‹¨Œİ_
1772,13.97366,14453,north carolina
4724.6,13.89572,38725,california
217.6,13.83872,1790,albacete
5906.93333,13.83257,48610,france
157.8,13.80336,1301,planeta tierra
327.8,13.80094,2703,in my skin
3030.53333,13.80058,24990,florida
635,13.79235,5239,america
497.73333,13.75613,4116,"madrid, spain"
1549.6,13.75295,12817,las vegas
2398.13333,13.73512,19858,ohio
1201.4,13.71054,9964,"miami, fl"
127.2,13.68036,1057,h-town
5592.53333,13.67753,46481,mexico
170.33333,13.65215,1418,texas.
396.73333,13.56693,3321,hollywood
166.6,13.56236,1395,"valencia, espaÌ±a"
162.93333,13.54317,1366,d.f.
580.6,13.48852,4885,dallas
461.6,13.46793,3889,cordoba
173.13333,13.4018,1465,compton
235.66667,13.38762,1996,buenos aires - argentina
1158.13333,13.37048,9820,where the wild things are
5517.13333,13.30203,46993,madrid
1256.4,13.29299,10708,indiana
915.2,13.2757,7809,bahrain
1567.53333,13.25669,13392,moscow
130.66667,13.20755,1120,mia
577.13333,13.18901,4953,"san antonio, tx"
168.86667,13.18104,1450,757
125.33333,13.16988,1077,"monterrey, mÌ©xico"
161.86667,13.15847,1392,enschede
988.13333,13.1543,8500,pennsylvania
448.8,13.14125,3864,"sÌ£o paulo, brasil"
815.93333,13.12831,7031,planet earth
237,13.12292,2043,oklahoma city
649.73333,13.12257,5601,"ontario, canada"
884,13.106,7629,dublin
154.13333,13.09692,1331,madriz
339.8,13.07828,2938,"moscow, russia"
168.73333,13.06727,1460,brampton
154.4,13.06703,1336,the internet
178,13.0117,1546,"villahermosa, tabasco"
249.53333,12.98661,2171,a coruÌ±a
118.66667,12.97849,1033,„_¡___¡„Û_¡
142.93333,12.93436,1248,saint-petersburg
2174.26667,12.92688,18994,michigan
266.8,12.91885,2332,stamford bridge
181.4,12.90552,1587,'merica
513.93333,12.88032,4504,"manchester, uk"
136.33333,12.87783,1195,"buffalo, new york"
498.53333,12.87712,4370,"madrid, espaÌ±a"
215.46667,12.87496,1889,houston texas
241,12.84648,2117,stl
358.2,12.83503,3149,bilbao
244.86667,12.82606,2154,dallas tx
263.93333,12.79946,2326,blackpool
299.66667,12.79351,2642,ga
838.93333,12.7768,7405,alabama
205.26667,12.7754,1812,"toronto, ontario, canada"
121.4,12.77088,1072,"mobile, al"
360.2,12.71982,3192,milwaukee
868.2,12.68964,7710,"caracas, venezuela"
6995.73333,12.6658,62229,paris
1529.86667,12.62044,13652,"london, uk"
303.53333,12.55065,2722,"jacksonville, fl"
300.66667,12.52604,2701,marseille
123,12.42424,1113,club paradise
400.06667,12.41312,3623,medellin
434.4,12.38807,3941,lima
204.53333,12.36249,1859,milan
146.73333,12.35892,1334,gallifrey
157.46667,12.32584,1435,nantes
112.8,12.28491,1031,"santiago,chile"
158.53333,12.27545,1450,"berlin, germany"
3729.8,12.2569,34160,mÌ©xico
114.06667,12.23979,1046,trinidad & tobago
206.26667,12.23602,1892,dundee
787.13333,12.16051,7260,illinois
2202.06667,12.11929,20372,sevilla
134.46667,12.11921,1244,‰ÏÎ
182.93333,12.10624,1694,tabasco
377.86667,12.09509,3502,cincinnati
112.26667,12.04923,1044,dubai 
496.6,12.01432,4630,brasÌ_lia
169.86667,12.00358,1585,curitiba - pr
124.93333,12.00051,1166,apeldoorn
205.33333,11.9821,1919,asturias
2499.2,11.97692,23366,buenos aires
1198.26667,11.9758,11204,amsterdam
240.33333,11.96482,2249,chennai
146.53333,11.93787,1374,dm(v)
248.73333,11.92813,2334,rack city
576.2,11.89071,5422,monterrey
156.26667,11.87677,1472,wigan
110.93333,11.87638,1045,richmond
181.86667,11.87016,1714,"indianapolis, indiana"
1095.86667,11.83552,10355,caracas
199.26667,11.83481,1883,"sÌ£o paulo, brazil"
216.93333,11.83445,2050,miami beach
152.93333,11.81804,1447,"fresno, ca"
3043.2,11.81697,28796,us
318.4,11.81184,3014,huelva
205.6,11.79305,1949,london town
242.46667,11.79007,2299,badajoz
118,11.77645,1120,mordor
183.6,11.77376,1743,"kingston, jamaica"
551.86667,11.77157,5240,va
426.86667,11.76871,4054,france 
353.6,11.74985,3363,south florida
155.4,11.74071,1479,everywhere!
105.06667,11.68793,1004,el paso
496.73333,11.67338,4752,barbados
120.26667,11.66807,1151,¾±Ê¢Ü
1167.86667,11.66568,11179,valencia
404.13333,11.66375,3869,lyon
311.53333,11.65279,2985,mÌ©xico 
113.2,11.64849,1085,raleigh
1125.8,11.62272,10812,"paris, france"
181.8,11.60031,1749,almerÌ_a
111.46667,11.5926,1073,"viÌ±a del mar, chile"
772.86667,11.58524,7444,mÌÁlaga
129.33333,11.56138,1248,"leeds, uk"
118.8,11.54295,1148,„Û__„„â____-___¡-_«____„Ä
111.06667,11.5342,1074,"boston,ma"
124.2,11.52347,1202,"fayetteville, nc"
139.2,11.50603,1349,mÌ©xico city
184.8,11.406,1805,bogota 
242.26667,11.36477,2374,"lagos,nigeria"
387.8,11.35179,3804,"buffalo, ny"
425.06667,11.32625,4178,sao paulo
605.86667,11.31587,5960,ru
1994.26667,11.31452,19620,barcelona
190.33333,11.29128,1876,behind you.
167.8,11.27537,1656,on your mind
418.4,11.26366,4133,"lagos, nigeria"
461.86667,11.20184,4585,„_¡___¼„â-_À_µ„â_µ„Û_±„Ä„Û__
333.4,11.17817,3316,sÌ£o paulo - brasil
306.8,11.11514,3067,pretoria
380.26667,11.10678,3804,belfast
1504.53333,11.02265,15154,"buenos aires, argentina"
1790.6,11.01881,18041,scotland
152.2,11.00665,1535,¾±Š¼ÂÄ_¾üøŒÎ¼
